2017datum,M01AB(1),2018DATUM,M01AB(2)
4/20/2017,4.66,5/21/2018,12
4/21/2017,3.67,5/22/2018,3.67
4/22/2017,2.64,5/23/2018,1.5
4/23/2017,9,5/24/2018,2
4/24/2017,9.33,5/25/2018,2.33
4/25/2017,8,5/26/2018,3.33
4/26/2017,3,5/27/2018,6.33
4/27/2017,3.33,5/28/2018,7
4/28/2017,3.33,5/29/2018,9
4/29/2017,5,5/30/2018,4.34
4/30/2017,1,5/31/2018,3.5
05-01-2017,0.34,06-01-2018,12.33
05-02-2017,2,06-02-2018,8
05-03-2017,1.33,06-03-2018,5
05-04-2017,5.67,06-04-2018,3.33
05-05-2017,2.34,06-05-2018,4.33
05-06-2017,7.33,06-06-2018,6
05-07-2017,6.33,06-07-2018,2
05-08-2017,2.33,06-08-2018,4
05-09-2017,7.33,06-09-2018,8
05-10-2017,8.66,06-10-2018,2.66
05-11-2017,6,06-11-2018,8
05-12-2017,4.99,06-12-2018,2.34
5/13/2017,5,6/13/2018,12
5/14/2017,4.67,6/14/2018,0
5/15/2017,5.34,6/15/2018,1
5/16/2017,2.33,6/16/2018,3.34
5/17/2017,6.34,6/17/2018,4.84
5/18/2017,3.33,6/18/2018,4.5
5/19/2017,4.34,6/19/2018,4
5/20/2017,3.99,6/20/2018,3.66
5/21/2017,6,6/21/2018,3.35
5/22/2017,5.33,6/22/2018,5
5/23/2017,3,6/23/2018,5.33
5/24/2017,6.68,6/24/2018,1.67
5/25/2017,5.66,6/25/2018,3.33
5/26/2017,2.34,6/26/2018,10.33
5/27/2017,7.33,6/27/2018,2
5/28/2017,1.99,6/28/2018,3
5/29/2017,3.34,6/29/2018,1
5/30/2017,8,6/30/2018,6.84
5/31/2017,4,07-01-2018,2
06-01-2017,1.34,07-02-2018,3.33
06-02-2017,2.33,07-03-2018,6.34
06-03-2017,5,07-04-2018,1
06-04-2017,7,07-05-2018,4.33
06-05-2017,3.33,07-06-2018,2.33
06-06-2017,1,07-07-2018,6.33
06-07-2017,5.33,07-08-2018,7.33
06-08-2017,5,07-09-2018,3.33
06-09-2017,1.33,07-10-2018,6
06-10-2017,9,07-11-2018,10
06-11-2017,5.5,07-12-2018,3
06-12-2017,4.34,7/13/2018,1.34
6/13/2017,2.99,7/14/2018,0
6/14/2017,1.33,7/15/2018,10
6/15/2017,3,7/16/2018,9.33
6/16/2017,4,7/17/2018,2.33
6/17/2017,2,7/18/2018,2.5
6/18/2017,4,7/19/2018,6.84
6/19/2017,1.33,7/20/2018,5
6/20/2017,9.33,7/21/2018,4
6/21/2017,4,7/22/2018,3.66
6/22/2017,1,7/23/2018,8.68
6/23/2017,1,7/24/2018,9.68
6/24/2017,5,7/25/2018,5
6/25/2017,6.5,7/26/2018,4.33
6/26/2017,7.68,7/27/2018,2.34
6/27/2017,4,7/28/2018,6
6/28/2017,4,7/29/2018,3.5
6/29/2017,4,7/30/2018,3
6/30/2017,6.67,7/31/2018,7.33
07-01-2017,3.33,08-01-2018,1
07-02-2017,5,08-02-2018,0
07-03-2017,3.67,08-03-2018,4.01
07-04-2017,10.67,08-04-2018,5
07-05-2017,4.5,08-05-2018,6
07-06-2017,4.33,08-06-2018,8.33
07-07-2017,5,08-07-2018,2.33
07-08-2017,4.99,08-08-2018,4.33
07-09-2017,2.33,08-09-2018,2.67
07-10-2017,2,08-10-2018,6
07-11-2017,3.34,08-11-2018,4
07-12-2017,2,08-12-2018,10.99
7/13/2017,3.33,8/13/2018,3.33
7/14/2017,2.33,8/14/2018,1.33
7/15/2017,3.33,8/15/2018,8.34
7/16/2017,11.34,8/16/2018,3.33
7/17/2017,9,8/17/2018,2.33
7/18/2017,9.67,8/18/2018,6.33
7/19/2017,6.33,8/19/2018,6.33
7/20/2017,5,8/20/2018,4
7/21/2017,2.33,8/21/2018,2.34
7/22/2017,3,8/22/2018,5
7/23/2017,6.5,8/23/2018,5
7/24/2017,3.84,8/24/2018,4
7/25/2017,6.34,8/25/2018,3.67
7/26/2017,3.33,8/26/2018,11.33
7/27/2017,5,8/27/2018,3.34
7/28/2017,4,8/28/2018,2
7/29/2017,3,8/29/2018,6.67
7/30/2017,4.125,8/30/2018,2.33
7/31/2017,7.34,8/31/2018,4.34
08-01-2017,7.33,09-01-2018,2.34
08-02-2017,6,09-02-2018,6.68
08-03-2017,6.33,09-03-2018,1
08-04-2017,8,09-04-2018,4
08-05-2017,4.66,09-05-2018,6.5
08-06-2017,2,09-06-2018,6.66
08-07-2017,1,09-07-2018,2
08-08-2017,6,09-08-2018,10
08-09-2017,2.33,09-09-2018,4
08-10-2017,0,09-10-2018,7
08-11-2017,4.33,09-11-2018,9
08-12-2017,2.69,09-12-2018,4
8/13/2017,3.66,9/13/2018,2.83
8/14/2017,11.34,9/14/2018,8
8/15/2017,2.33,9/15/2018,6
8/16/2017,5.33,9/16/2018,3.33
8/17/2017,5.16,9/17/2018,3
8/18/2017,2.33,9/18/2018,4.34
8/19/2017,5,9/19/2018,6
8/20/2017,4.33,9/20/2018,2
8/21/2017,9.33,9/21/2018,4.66
8/22/2017,6,9/22/2018,6
8/23/2017,3.33,9/23/2018,7.34
8/24/2017,8,9/24/2018,7.33
8/25/2017,6,9/25/2018,6
8/26/2017,4.99,9/26/2018,3
8/27/2017,3,9/27/2018,4
8/28/2017,8,9/28/2018,2
8/29/2017,7,9/29/2018,3.5
8/30/2017,7.67,9/30/2018,11.01
8/31/2017,16.68,10-01-2018,3
09-01-2017,3.34,10-02-2018,6
09-02-2017,6.34,10-03-2018,6
09-03-2017,6.83,10-04-2018,6
09-04-2017,6.5,10-05-2018,4.84
09-05-2017,6.17,10-06-2018,2
09-06-2017,4.33,10-07-2018,2.68
09-07-2017,3,10-08-2018,4
09-08-2017,8.83,10-09-2018,2
09-09-2017,6,10-10-2018,9
09-10-2017,3.34,10-11-2018,2
09-11-2017,2,10-12-2018,6.33
09-12-2017,1,10/13/2018,6.99
9/13/2017,4,10/14/2018,2.34
9/14/2017,5,10/15/2018,7.17
9/15/2017,3,10/16/2018,6
9/16/2017,7,10/17/2018,2.33
9/17/2017,5,10/18/2018,4.34
9/18/2017,9,10/19/2018,4
9/19/2017,3.33,10/20/2018,2.34
9/20/2017,2,10/21/2018,6.67
9/21/2017,7.34,10/22/2018,2.66
9/22/2017,4.66,10/23/2018,2.34
9/23/2017,9.99,10/24/2018,4
9/24/2017,3.66,10/25/2018,5.33
9/25/2017,1,10/26/2018,4
9/26/2017,2,10/27/2018,8.34
9/27/2017,4,10/28/2018,5.33
9/28/2017,3.34,10/29/2018,5.35
9/29/2017,1,10/30/2018,9.33
9/30/2017,5.33,10/31/2018,2
10-01-2017,4,11-01-2018,7.84
10-02-2017,8.33,11-02-2018,5.14
10-03-2017,0.34,11-03-2018,3
10-04-2017,2,11-04-2018,13.99
10-05-2017,5.33,11-05-2018,6.33
10-06-2017,3.99,11-06-2018,3.33
10-07-2017,4,11-07-2018,7
10-08-2017,8.67,11-08-2018,3
10-09-2017,0,11-09-2018,5
10-10-2017,10,11-10-2018,4.33
10-11-2017,3.5,11-11-2018,11
10-12-2017,4,11-12-2018,2.34
10/13/2017,5.33,11/13/2018,6.33
10/14/2017,4.84,11/14/2018,5.66
10/15/2017,6,11/15/2018,2
10/16/2017,2.33,11/16/2018,8.33
10/17/2017,3.34,11/17/2018,8
10/18/2017,5.34,11/18/2018,4.68
10/19/2017,4.33,11/19/2018,6.01
10/20/2017,2.83,11/20/2018,5.33
10/21/2017,3.33,11/21/2018,7
10/22/2017,8,11/22/2018,8
10/23/2017,3.33,11/23/2018,6
10/24/2017,2,11/24/2018,5.66
10/25/2017,6.34,11/25/2018,5.33
10/26/2017,1.33,11/26/2018,5.33
10/27/2017,6.32,11/27/2018,8
10/28/2017,5,11/28/2018,3
10/29/2017,7.66,11/29/2018,4.33
10/30/2017,1.5,11/30/2018,1
10/31/2017,4.33,12-01-2018,7
11-01-2017,0.67,12-02-2018,3.17
11-02-2017,4,12-03-2018,6
11-03-2017,2.33,12-04-2018,2.5
11-04-2017,10.34,12-05-2018,5.33
11-05-2017,6.33,12-06-2018,0
11-06-2017,8.34,12-07-2018,5
11-07-2017,0.67,12-08-2018,0
11-08-2017,6,12-09-2018,4.66
11-09-2017,2.67,12-10-2018,4
11-10-2017,9.34,12-11-2018,4
11-11-2017,8.5,12-12-2018,4.33
11-12-2017,5,12/13/2018,3.68
11/13/2017,9.33,12/14/2018,2
11/14/2017,3,12/15/2018,4
11/15/2017,5.33,12/16/2018,1.33
11/16/2017,5.33,12/17/2018,6.34
11/17/2017,3,12/18/2018,0.33
11/18/2017,5.33,12/19/2018,0
11/19/2017,4,12/20/2018,8.34
11/20/2017,2.34,12/21/2018,2
11/21/2017,13.33,12/22/2018,8.34
11/22/2017,2,12/23/2018,12.33
11/23/2017,9.33,12/24/2018,8.67
11/24/2017,8,12/25/2018,8
11/25/2017,5.33,12/26/2018,1
11/26/2017,5.66,12/27/2018,3.68
11/27/2017,1.34,12/28/2018,11.67
11/28/2017,5,12/29/2018,6.68
11/29/2017,6.34,12/30/2018,5.33
11/30/2017,5.67,12/31/2018,8
12-01-2017,10.33,,
12-02-2017,4.33,,
12-03-2017,5.33,,
12-04-2017,1,,
12-05-2017,3.68,,
12-06-2017,4,,
12-07-2017,3,,
12-08-2017,5.33,,
12-09-2017,5,,
12-10-2017,5,,
12-11-2017,8,,
12-12-2017,1.33,,
12/13/2017,4,,
12/14/2017,3,,
12/15/2017,4.18,,
12/16/2017,11,,
12/17/2017,7,,
12/18/2017,0.66,,
12/19/2017,0,,
12/20/2017,2,,
12/21/2017,2.02,,
12/22/2017,5.99,,
12/23/2017,6,,
12/24/2017,7.66,,
12/25/2017,1,,
12/26/2017,2.99,,
12/27/2017,7,,
12/28/2017,7.33,,
12/29/2017,9.34,,
12/30/2017,8.68,,
12/31/2017,13.83,,
01-01-2018,0,,
01-02-2018,1,,
01-03-2018,4.67,,
01-04-2018,6,,
01-05-2018,12,,
01-06-2018,4.66,,
01-07-2018,0,,
01-08-2018,2.33,,
01-09-2018,5.33,,
01-10-2018,9.33,,
01-11-2018,4,,
01-12-2018,5.66,,
1/13/2018,3.5,,
1/14/2018,4.33,,
1/15/2018,6.99,,
1/16/2018,6.34,,
1/17/2018,6.67,,
1/18/2018,4.33,,
1/19/2018,6.33,,
1/20/2018,2.66,,
1/21/2018,3.33,,
1/22/2018,6,,
1/23/2018,1,,
1/24/2018,7.33,,
1/25/2018,3.66,,
1/26/2018,3,,
1/27/2018,3.34,,
1/28/2018,1.5,,
1/29/2018,2.33,,
1/30/2018,4.33,,
1/31/2018,0.33,,
